timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount
1.53E+12,609,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,609,1,0
1.53E+12,609,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,609,1,0
1.52586E+12,556,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,556,1,0
1.52586E+12,556,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,556,1,0
1.52586E+12,3552,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,3551,1,0
1.52586E+12,3552,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,3551,1,0
1.52586E+12,633,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,633,1,0
1.52586E+12,633,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,633,1,0
1.52586E+12,555,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,555,1,0
1.52586E+12,555,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,555,1,0
1.52586E+12,566,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,566,1,0
1.52586E+12,566,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,566,1,0
1.52586E+12,644,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,644,1,0
1.52586E+12,644,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,644,1,0
1.52586E+12,739,caller_GET_List_Files_TC-100,200,OK,[TG] -caller 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,739,1,0
1.52586E+12,739,[TC] - caller_GET_List_FilesTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller 1-1,,TRUE,,1,1,null,739,1,0
1.52586E+12,688,caller_GET_List_Files_TC-100,200,OK,[TG] -caller_POST_Validate 1-1,text,TRUE,,1,1,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/Statistics/v4/rest/caller/list,687,1,0
1.52586E+12,688,[TC] - caller_POST_ValidateTC-100,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] -caller_POST_Validate 1-1,,TRUE,,1,1,null,687,1,0
