timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527581332242,560,GET-classSetMeta_TC-333,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,301,1,1,560,0,274
1527581332241,560,[TC] - data-map-controller_TC-333,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,301,1,1,560,2,274
1527581332805,280,GET-classSetMeta_TC-334,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,299,1,1,280,0,0
1527581332804,280,[TC] - data-map-controller_TC-334,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,299,1,1,280,5,0
1527581333091,282,GET-classSetMeta_TC-335,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,309,1,1,281,0,0
1527581333090,282,[TC] - data-map-controller_TC-335,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,309,1,1,281,2,0
1527581483076,538,GET-classSetMeta_TC-333,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,301,1,1,538,0,257
1527581483075,538,[TC] - data-map-controller_TC-333,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,301,1,1,538,2,257
1527581483616,281,GET-classSetMeta_TC-334,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,299,1,1,281,0,0
1527581483616,281,[TC] - data-map-controller_TC-334,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,299,1,1,281,2,0
1527581483901,277,GET-classSetMeta_TC-335,200,OK,[TG] - data-map-controller 1-1,text,true,,4425,309,1,1,277,0,0
1527581483900,277,[TC] - data-map-controller_TC-335,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,4425,309,1,1,277,2,0
1527588132974,686,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,686,0,404
1527588132973,686,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,686,2,404
1527588498914,534,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,533,0,255
1527588498913,534,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,533,2,255
1527588532658,522,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,522,0,248
1527588532658,522,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,522,1,248
1527588533184,285,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,285,0,0
1527588533183,285,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,285,2,0
1527588595601,621,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,621,0,342
1527588595600,621,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,621,3,342
1527588596226,291,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,291,0,0
1527588596225,291,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,291,2,0
1527589397590,680,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,2,2,680,0,394
1527589397590,680,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,2,2,680,2,394
1527589398275,280,PUT-updateDataMap_TC-338,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,2,2,280,0,0
1527589398274,280,[TC] -data-map-controller_TC-338,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,2,2,280,3,0
1527589398092,532,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-2,text,true,,573,872,1,1,532,0,256
1527589398092,532,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-2,,true,,573,872,1,1,532,3,256
1527589398628,276,PUT-updateDataMap_TC-339,200,OK,[TG] - data-map-controller 1-2,text,true,,573,872,1,1,276,0,0
1527589398628,276,[TC] -data-map-controller_TC-339,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-2,,true,,573,872,1,1,276,1,0
1527589454364,542,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,542,0,256
1527589454364,542,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,542,5,256
1527589454913,280,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,280,0,0
1527589454912,280,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,280,2,0
1527589902594,601,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,601,0,347
1527589902593,601,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,601,3,347
1527589903199,263,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,840,1,1,263,0,0
1527589903198,263,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,840,1,1,263,2,0
1527589939496,509,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,509,0,248
1527589939496,509,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,509,1,248
1527589940008,266,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,840,1,1,266,0,0
1527589940008,266,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,840,1,1,266,1,0
1527590048996,530,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,530,0,277
1527590048996,530,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,530,0,277
1527590108855,536,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,536,0,268
1527590108855,536,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,536,1,268
1527590109394,264,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,840,1,1,264,0,0
1527590109394,264,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,840,1,1,264,1,0
1527590308336,532,PUT-updateDataMap_${testCaseId},200,OK,[TG] - data-map-controller 1-1,,true,,209,900,1,1,532,0,270
1527590308335,532,[TC] -data-map-controller_${testCaseId},200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,900,1,1,532,7,270
1527590308876,267,PUT-updateDataMap_${testCaseId},200,OK,[TG] - data-map-controller 1-1,,true,,209,854,1,1,267,0,0
1527590308875,267,[TC] -data-map-controller_${testCaseId},200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,854,1,1,267,2,0
1527590354949,501,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,900,1,1,501,0,248
1527590354949,501,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,900,1,1,501,1,248
1527590355453,260,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,854,1,1,260,0,0
1527590355453,260,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,854,1,1,260,0,0
1527590633419,578,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,578,0,326
1527590633419,578,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,578,2,326
1527590633999,262,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,840,1,1,262,0,0
1527590633999,262,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,840,1,1,262,0,0
1527590928708,515,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,886,1,1,515,0,260
1527590928708,515,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,886,1,1,515,1,260
1527590929225,262,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,840,1,1,262,0,0
1527590929224,262,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,840,1,1,262,2,0
1527591476299,553,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,872,1,1,553,0,276
1527591476299,553,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,872,1,1,553,5,276
1527591476859,267,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,826,1,1,267,0,0
1527591476859,267,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,826,1,1,267,1,0
1527591630730,545,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,871,1,1,545,0,284
1527591630729,545,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,871,1,1,545,5,284
1527591631281,266,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,826,1,1,266,0,0
1527591631281,266,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,826,1,1,266,1,0
1527591740805,541,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,,true,,209,872,1,1,541,0,281
1527591740804,541,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,872,1,1,541,3,281
1527591741350,271,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,,true,,209,827,1,1,271,0,0
1527591741349,271,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,209,827,1,1,271,1,0
1527592235253,650,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,650,0,359
1527592235253,650,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,650,1,359
1527592235906,274,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,383,827,1,1,273,0,0
1527592235906,274,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,383,827,1,1,273,0,0
1527592300447,543,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,543,0,268
1527592300445,543,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,543,4,268
1527592300994,272,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,383,827,1,1,272,0,0
1527592300994,272,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,383,827,1,1,272,1,0
1527593437843,617,PUT-updateDataMap_TC-336,200,OK,[TG] - data-map-controller 1-1,text,true,,573,872,1,1,617,0,339
1527593437843,617,[TC] -data-map-controller_TC-336,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,573,872,1,1,617,1,339
1527593438462,276,PUT-updateDataMap_TC-337,200,OK,[TG] - data-map-controller 1-1,text,true,,383,827,1,1,276,0,0
1527593438462,276,[TC] -data-map-controller_TC-337,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-map-controller 1-1,,true,,383,827,1,1,276,0,0
