timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528270884299,42084,GET - TimestampFormatList_TC-449,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - data-feed-configurator-controller 1-1,text,false,,2133,0,1,1,0,0,42083
1528270884298,42084,[TC] - data-feed-configurator-controller_TC-449,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - data-feed-configurator-controller 1-1,,false,,2133,0,1,1,0,1,42083
1528270926384,563,GET - TimestampFormatList_TC-451,200,OK,[TG] - data-feed-configurator-controller 1-1,text,true,,351,349,1,1,560,0,275
1528270926384,563,[TC] - data-feed-configurator-controller_TC-451,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-feed-configurator-controller 1-1,,true,,351,349,1,1,560,0,275
1528270932425,552,GET - TimestampFormatList_TC-449,200,OK,[TG] - data-feed-configurator-controller 1-1,text,true,,835,342,1,1,552,0,269
1528270932424,552,[TC] - data-feed-configurator-controller_TC-449,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-feed-configurator-controller 1-1,,true,,835,342,1,1,552,1,269
1528270932978,279,GET - TimestampFormatList_TC-451,200,OK,[TG] - data-feed-configurator-controller 1-1,text,true,,350,349,1,1,279,0,0
1528270932978,279,[TC] - data-feed-configurator-controller_TC-451,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - data-feed-configurator-controller 1-1,,true,,350,349,1,1,279,0,0
