timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1524811302392,21003,Plumbing_POST_Remove_withoutAppendingParameterWithPath,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.ConnectException]

URL: http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5

JSON RESPONSE: null

REQUEST HEADERS: Connection: keep-alive
x-gitfs-workspace: ewolf
Content-Type: application/x-www-form-urlencoded


",http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,1,0
1524811323430,21004,Plumbing_POST_Remove_ParametersAppenededWithPath,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.ConnectException]

URL: http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true

JSON RESPONSE: null

REQUEST HEADERS: Connection: keep-alive
x-gitfs-workspace: ewolf
Content-Type: application/x-www-form-urlencoded


",http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true,1,1,0
1524811302391,42007,[TC] - Plumbing_ POST_Remove_${TestCaseId},,"Number of samples in transaction : 2, number of failing samples : 2",[TG] - DAMSL_Plumbing_POST_Remove 1-1,,false,,null,1,1,39
1524812062294,21004,Plumbing_POST_Remove_withoutAppendingParameterWithPath,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.ConnectException]

URL: http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5

JSON RESPONSE: null

REQUEST HEADERS: Connection: keep-alive
x-gitfs-workspace: ewolf
Content-Type: application/x-www-form-urlencoded


",http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,1,0
1524812083325,21002,Plumbing_POST_Remove_ParametersAppenededWithPath,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.ConnectException]

URL: http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true

JSON RESPONSE: null

REQUEST HEADERS: Connection: keep-alive
x-gitfs-workspace: ewolf
Content-Type: application/x-www-form-urlencoded


",http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true,1,1,0
1524812062293,42006,[TC] - Plumbing_ POST_Remove_${TestCaseId},,"Number of samples in transaction : 2, number of failing samples : 2",[TG] - DAMSL_Plumbing_POST_Remove 1-1,,false,,null,1,1,30
1524812314858,504,Plumbing_POST_Remove_withoutAppendingParameterWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,0,0
1524812315399,247,Plumbing_POST_Remove_ParametersAppenededWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5?path=test-dir&force=true,1,0,0
1524812314858,751,[TC] - Plumbing_ POST_Remove_${TestCaseId},200,"Number of samples in transaction : 2, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Remove 1-1,,true,,null,1,0,38
1524812431521,489,Plumbing_POST_Remove_withoutAppendingParameterWithPath,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Remove 1-1,text,true,,http://172.16.1.200:8080/damsl/v1/rest/git-fs/rm/test-layouts5,1,0,0
