timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1530257823057,0,Plumbing_POST - Add_CompleteURI_TC-92_01,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=pks-dir,1,1,0
1530257823110,0,Plumbing_POST - Add_with_allTC-92_08,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=FALSE&force=FALSE&update=FALSE,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=FALSE&force=FALSE&update=FALSE

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=FALSE&force=FALSE&update=FALSE,1,1,0
1530257823113,0,Plumbing_POST - Add_with_path_TC-92_15,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=FALSE&update=FALSE&path=pks-dir,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=FALSE&update=FALSE&path=pks-dir

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=FALSE&update=FALSE&path=pks-dir,1,1,0
1530257823115,0,Plumbing_POST - Add_only_allTC-92_22,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=,1,1,0
1530257823118,0,Plumbing_POST - Add_only_path_TC-92_29,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=,1,1,0
1530257823120,0,Plumbing_POST - Add_multiple_path_TC-92_36,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=test-dir&path=text003.txt&path=new-dir/test_03.txt,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=test-dir&path=text003.txt&path=new-dir/test_03.txt

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?path=test-dir&path=text003.txt&path=new-dir/test_03.txt,1,1,0
1530257823055,0,[TC] - Plumbing_ POST_Add,,"Number of samples in transaction : 6, number of failing samples : 6",[TG] - DAMSL_Plumbing_POST_Add 1-1,,false,,null,1,1,68
1530257823124,0,Plumbing_POST - Add_CompleteURI_TC-92_02,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE&path=,1,1,0
1530257823126,0,Plumbing_POST - Add_with_allTC-92_09,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?all=TRUE&force=FALSE&update=FALSE,1,1,0
1530257823129,0,Plumbing_POST - Add_with_path_TC-92_16,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 58: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=TRUE&update=TRUE&path=text003.txt,[TG] - DAMSL_Plumbing_POST_Add 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.URISyntaxException]

URL: http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=TRUE&update=TRUE&path=text003.txt

JSON RESPONSE: null

REQUEST HEADERS: 

",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/add/${repoAlias}?force=TRUE&update=TRUE&path=text003.txt,1,1,0
