timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1529675624428,822,Plumbing_POST_Pull_TC-133_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=wrong_val&strat=cc&rebase=bb,1,0,0
1529675624427,822,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,58
1529675625309,277,Plumbing_POST_Pull_TC-133_02,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=ff_val&strat=wrong_val1&rebase=val2,1,0,0
1529675625308,277,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,6
1529675625595,550,Plumbing_POST_Pull_TC-133_03,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '314'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=RESOLVE&rebase=FALSE,1,1,0
1529675625594,550,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,6
1529675626152,488,Plumbing_POST_Pull_TC-133_04,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '306'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=RESOLVE&rebase=TRUE,1,1,0
1529675626151,488,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,5
1529675626646,744,Plumbing_POST_Pull_TC-133_05,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '314'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=OURS&rebase=FALSE,1,1,0
1529675626645,744,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,3
1529675627393,495,Plumbing_POST_Pull_TC-133_06,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '314'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=THEIRS&rebase=FALSE,1,1,0
1529675627393,495,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,2
1529675627891,458,Plumbing_POST_Pull_TC-133_07,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '306'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=THEIRS&rebase=TRUE,1,1,0
1529675627891,458,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,2
1529675628352,473,Plumbing_POST_Pull_TC-133_08,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Value expected to match regexp '0', but it did not match: '306'",http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=OURS&rebase=TRUE,1,1,0
1529675628352,473,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 1, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,4
1529675628830,548,Plumbing_POST_Pull_TC-133_09,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://dev-api-prod.r4cloud.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=OURS&rebase=wrong_val,1,0,0
1529675628830,548,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,2
