timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,URL,SampleCount,ErrorCount,IdleTime
1526976757752,42014,Plumbing_POST_Pull_TC-133_01,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,false,"Expected <response code> [200] but we got instead [Non HTTP response code: java.net.ConnectException]

URL: http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&strat=&rebase=

JSON RESPONSE: null

REQUEST HEADERS: Connection: keep-alive
x-gitfs-workspace: ewolf
Content-Type: application/x-www-form-urlencoded


",http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&strat=&rebase=,1,1,0
1526976799855,1969,Plumbing_POST_Pull_TC-133_09,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=,1,0,0
1526976801856,528,Plumbing_POST_Pull_TC-133_17,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&rebase=,1,0,0
1526976802386,299,Plumbing_POST_Pull_TC-133_25,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=RESOLVE&rebase=FALSE,1,0,0
1526976802689,278,Plumbing_POST_Pull_TC-133_33,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=RESOLVE,1,0,0
1526976802969,276,Plumbing_POST_Pull_TC-133_41,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=FALSE,1,0,0
1526976757723,45364,[TC] - Plumbing_ POST_Pull,,"Number of samples in transaction : 6, number of failing samples : 1",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,false,,null,1,1,162
1526976803251,274,Plumbing_POST_Pull_TC-133_02,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=ff_val&strat=wrong_val1&rebase=val2,1,0,0
1526976803531,281,Plumbing_POST_Pull_TC-133_10,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=RESOLVE,1,0,0
1526976803816,279,Plumbing_POST_Pull_TC-133_18,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&rebase=TRUE,1,0,0
1526976804100,539,Plumbing_POST_Pull_TC-133_26,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=RESOLVE&rebase=TRUE,1,0,0
1526976804644,277,Plumbing_POST_Pull_TC-133_34,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=OURS,1,0,0
1526976804923,280,Plumbing_POST_Pull_TC-133_42,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=False,1,0,0
1526976803251,1931,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,24
1526976805207,275,Plumbing_POST_Pull_TC-133_03,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=RESOLVE&rebase=FALSE,1,0,0
1526976805484,275,Plumbing_POST_Pull_TC-133_11,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=OURS,1,0,0
1526976805761,275,Plumbing_POST_Pull_TC-133_19,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&rebase=FALSE,1,0,0
1526976806045,274,Plumbing_POST_Pull_TC-133_27,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=OURS&rebase=FALSE,1,0,0
1526976806323,538,Plumbing_POST_Pull_TC-133_35,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=THEIRS,1,0,0
1526976806866,275,Plumbing_POST_Pull_TC-133_43,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=false,1,0,0
1526976805207,1912,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,25
1526976807145,275,Plumbing_POST_Pull_TC-133_04,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=RESOLVE&rebase=TRUE,1,0,0
1526976807422,276,Plumbing_POST_Pull_TC-133_12,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=THEIRS,1,0,0
1526976807700,265,Plumbing_POST_Pull_TC-133_20,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&rebase=TRUE,1,0,0
1526976807968,279,Plumbing_POST_Pull_TC-133_28,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=OURS&rebase=TRUE,1,0,0
1526976808249,267,Plumbing_POST_Pull_TC-133_36,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=,1,0,0
1526976808520,525,Plumbing_POST_Pull_TC-133_44,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=F,1,0,0
1526976807145,1887,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,15
1526976809050,274,Plumbing_POST_Pull_TC-133_05,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=OURS&rebase=FALSE,1,0,0
1526976809328,267,Plumbing_POST_Pull_TC-133_13,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&strat=OURS,1,0,0
1526976809598,268,Plumbing_POST_Pull_TC-133_21,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&rebase=FALSE,1,0,0
1526976809869,276,Plumbing_POST_Pull_TC-133_29,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=THEIRS&rebase=FALSE,1,0,0
1526976810149,267,Plumbing_POST_Pull_TC-133_37,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=wdsaf,1,0,0
1526976810418,275,Plumbing_POST_Pull_TC-133_45,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=TRUE,1,0,0
1526976809049,1627,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,19
1526976810697,538,Plumbing_POST_Pull_TC-133_06,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=THEIRS&rebase=FALSE,1,0,0
1526976811237,267,Plumbing_POST_Pull_TC-133_14,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&strat=OURS,1,0,0
1526976811507,268,Plumbing_POST_Pull_TC-133_22,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&rebase=,1,0,0
1526976811778,278,Plumbing_POST_Pull_TC-133_30,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=THEIRS&rebase=TRUE,1,0,0
1526976812060,268,Plumbing_POST_Pull_TC-133_38,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=TRUE,1,0,0
1526976812331,276,Plumbing_POST_Pull_TC-133_46,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?rebase=True,1,0,0
1526976810697,1895,[TC] - Plumbing_ POST_Pull,200,"Number of samples in transaction : 6, number of failing samples : 0",[TG] - DAMSL_Plumbing_POST_Pull 1-1,,true,,null,1,0,18
1526976812612,274,Plumbing_POST_Pull_TC-133_07,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=FF&strat=THEIRS&rebase=TRUE,1,0,0
1526976812888,524,Plumbing_POST_Pull_TC-133_15,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=&strat=THEIRS,1,0,0
1526976813414,269,Plumbing_POST_Pull_TC-133_23,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?ff=wrong_val&rebase=val3,1,0,0
1526976813686,267,Plumbing_POST_Pull_TC-133_31,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - DAMSL_Plumbing_POST_Pull 1-1,text,true,,http://internal-c0000deb-cx-batch-242855355.us-east-1.elb.amazonaws.com/damsl/v1/rest/git-fs/pull/test-layouts5?strat=&rebase=TRUE,1,0,0
