timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount
1525083773278,295,[TC] - CRUD_TC-78,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,295,1,0
1525083773579,315,CRUD_GET - Contents of the file with/without optional parameter_TC-79_01,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt?refId=29b9b81b335b2968289388d2d92ad5859605dc7e,314,1,0
1525083773578,315,[TC] - CRUD_TC-79_01,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,314,1,0
1525083773899,315,CRUD_GET - Contents of the file with/without optional parameter_TC-79_02,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt?refId=29,315,1,0
1525083773899,315,[TC] - CRUD_TC-79_02,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,315,1,0
1525083774221,634,CRUD_GET - Contents of the file with/without optional parameter_TC-79_03,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/porcelain/file1.txt?refId=2,634,1,0
1525083774221,634,[TC] - CRUD_TC-79_03,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,634,1,0
1525083778495,1664,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-64,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=&refId=,874,1,0
1525083778417,1664,[TC] - CRUD_TC-64,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,874,1,0
1525083780234,754,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-65,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=new-dir&refId=,387,1,0
1525083780234,754,[TC] - CRUD_TC-65,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,387,1,0
1525083781000,524,CRUD_GET - ZIP Files by repoAlias with/without optional parameters_TC-66,200,Endpoint is working and returned a result.The Response data looks as per compliance.,[TG] - CRUD 1-1,text,true,,1,1,http://172.16.1.200:8080/damsl/v1/rest/git-fs/files/damsl-test-stats/zip?filter=&refId=29b9b81b335b2968289388d2d92ad5859605dc7d,524,1,0
1525083780998,524,[TC] - CRUD_TC-66,200,"Number of samples in transaction : 1, number of failing samples : 0",[TG] - CRUD 1-1,,true,,1,1,null,524,1,0
